10.0	0.0	25.0
2.0	30.0	20.0
35.0	20.0	10.0
0.0	0.0	0.0
5.0	3.0	15.0
20.0	7.0	12.0
50.0	60.0	45.0
7.0	3.0	10.0
20.0	20.0	15.0
2.0	0.0	0.0
0.0	100.0	90.0
40.0	35.0	0.0
10.0	15.0	20.0
99.0	1.0	2.0
25.0	25.0	30.0
18.0	22.0	18.0
5.0	5.0	1.0
33.0	33.0	33.0
45.0	10.0	60.0
0.0	40.0	0.0
12.0	12.0	18.0
8.0	9.0	7.0
30.0	28.0	29.0
1.0	2.0	0.0
15.0	15.0	0.0
10.0	20.0	5.0
0.0	15.0	25.0
30.0	10.0	0.0
5.0	5.0	5.0
0.0	0.0	40.0
22.0	18.0	22.0
8.0	0.0	12.0
50.0	100.0	0.0
3.0	3.0	1.0
0.0	7.0	7.0
40.0	35.0	25.0
12.0	20.0	12.0
0.0	60.0	60.0
15.0	10.0	20.0
1.0	2.0	0.0
100.0	50.0	30.0
7.0	14.0	21.0
9.0	0.0	9.0
25.0	25.0	25.0
6.0	18.0	6.0
11.0	11.0	0.0
4.0	2.0	6.0
33.0	0.0	45.0
17.0	17.0	5.0
2.0	3.0	3.0
10.0	30.0	50.0
0.0	40.0	20.0
25.0	0.0	35.0
60.0	15.0	0.0
5.0	5.0	5.0
0.0	0.0	0.0
45.0	20.0	15.0
10.0	70.0	30.0
30.0	30.0	30.0
2.0	1.0	0.0
0.0	100.0	80.0
12.0	12.0	20.0
8.0	25.0	25.0
33.0	33.0	0.0
0.0	10.0	90.0
18.0	18.0	18.0
40.0	20.0	40.0
7.0	9.0	11.0
55.0	5.0	5.0
0.0	22.0	22.0
17.0	34.0	2.0
29.0	29.0	10.0
1.0	0.0	99.0
13.0	6.0	31.0
24.0	48.0	24.0
10.0	25.0	0.0
0.0	40.0	20.0
30.0	15.0	5.0
5.0	0.0	50.0
0.0	0.0	0.0
12.0	12.0	8.0
60.0	20.0	0.0
0.0	55.0	55.0
3.0	2.0	1.0
22.0	22.0	22.0
0.0	10.0	100.0
45.0	0.0	5.0
7.0	0.0	7.0
18.0	30.0	18.0
100.0	0.0	0.0
0.0	1.0	0.0
33.0	34.0	32.0
14.0	14.0	0.0
5.0	5.0	6.0
27.0	9.0	27.0
9.0	9.0	9.0
48.0	50.0	49.0
2.0	98.0	0.0
17.0	16.0	0.0
11.0	13.0	13.0
10.0	30.0	5.0
0.0	25.0	40.0
15.0	0.0	20.0
50.0	10.0	0.0
0.0	0.0	0.0
5.0	5.0	5.0
80.0	20.0	60.0
0.0	100.0	10.0
12.0	12.0	8.0
25.0	25.0	25.0
0.0	15.0	15.0
30.0	30.0	0.0
3.0	1.0	0.0
7.0	50.0	50.0
100.0	0.0	99.0
45.0	44.0	46.0
2.0	20.0	1.0
40.0	40.0	20.0
13.0	7.0	13.0
9.0	0.0	30.0
60.0	60.0	60.0
17.0	3.0	25.0
6.0	100.0	0.0
14.0	14.0	14.0
11.0	9.0	12.0
10.0	15.0	30.0
5.0	40.0	20.0
50.0	10.0	25.0
0.0	0.0	0.0
20.0	10.0	20.0
0.0	60.0	0.0
15.0	15.0	15.0
35.0	25.0	5.0
0.0	0.0	45.0
3.0	7.0	1.0
80.0	70.0	90.0
25.0	55.0	10.0
0.0	0.0	60.0
40.0	0.0	0.0
0.0	30.0	5.0
2.0	0.0	0.0
20.0	5.0	20.0
70.0	15.0	65.0
0.0	35.0	35.0
10.0	90.0	20.0
12.0	8.0	12.0
5.0	20.0	5.0
6.0	0.0	0.0
18.0	17.0	19.0
100.0	50.0	0.0
20.0	50.0	10.0
60.0	30.0	5.0
15.0	10.0	40.0
0.0	0.0	0.0
5.0	5.0	20.0
100.0	40.0	60.0
10.0	25.0	30.0
33.0	33.0	0.0
8.0	12.0	6.0
45.0	20.0	50.0
0.0	70.0	25.0
12.0	0.0	18.0
22.0	22.0	22.0
3.0	90.0	15.0
55.0	54.0	53.0
40.0	70.0	10.0
28.0	14.0	35.0
7.0	7.0	0.0
17.0	60.0	0.0
95.0	20.0	5.0
0.0	5.0	10.0
11.0	11.0	12.0
29.0	45.0	27.0
4.0	2.0	1.0
49.0	49.0	50.0
10.0	5.0	25.0
0.0	30.0	20.0
15.0	15.0	15.0
50.0	40.0	0.0
0.0	0.0	0.0
5.0	60.0	10.0
20.0	25.0	30.0
12.0	12.0	18.0
35.0	5.0	35.0
7.0	14.0	21.0
10.0	90.0	0.0
100.0	20.0	0.0
2.0	2.0	5.0
25.0	25.0	10.0
40.0	40.0	40.0
0.0	60.0	60.0
33.0	11.0	22.0
6.0	3.0	0.0
18.0	45.0	12.0
9.0	9.0	0.0
47.0	20.0	47.0
14.0	28.0	7.0
1.0	0.0	2.0
60.0	60.0	59.0
4.0	50.0	50.0
5.0	10.0	30.0
0.0	20.0	15.0
25.0	10.0	0.0
12.0	0.0	8.0
0.0	0.0	60.0
40.0	35.0	10.0
0.0	50.0	45.0
18.0	18.0	18.0
7.0	3.0	0.0
2.0	0.0	1.0
55.0	0.0	100.0
0.0	0.0	0.0
30.0	60.0	20.0
9.0	9.0	0.0
4.0	25.0	4.0
85.0	10.0	50.0
15.0	15.0	30.0
33.0	33.0	33.0
0.0	70.0	70.0
100.0	95.0	0.0
47.0	49.0	46.0
20.0	5.0	20.0
1.0	2.0	3.0
